user_id,anonymousId,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,province,zip_code,customer_tier
CUST-A001001,8accea24-884f-405d-99d6-6dcb14256b8d,Pitipat,Youprasert,1988-03-17T00:00:00+07:00,Male,pitipat.youprasert@hotmailx.com,+6618860161,9/9 ซอยขุนดำ เทพสถิต เลย 91120,Thailand,2024-06-14T00:00:00+07:00,เลย,91120,Bronze
CUST-A001002,5f9b3dec-2d57-4b40-85c6-b8edcd8d8b62,Chayanin,Matinawin,1915-11-22T00:00:00+06:42,Female,chayanin.matinawin@gmailx.com,+6614197191,5/3 ถ.อุลหัสสา ต.คลองเขื่อน อ.ปากคาด จ.เพชรบูรณ์ 94080,Thailand,2024-06-12T00:00:00+07:00,เพชรบูรณ์,94080,Bronze
CUST-A001003,6562916c-b93e-4282-af21-43cfb59ebda4,Pannawich,Methavorakul,2007-08-15T00:00:00+07:00,Female,pannawich.methavorakul@gmailx.com,+6615117006,297/38 ถ.ถนิมมาศ อ.พรเจริญ ปทุมธานี 98270,Thailand,2024-07-19T00:00:00+07:00,ปทุมธานี,98270,Bronze
CUST-A001004,f7b19870-bf86-4c17-ad5f-aa708a2ceee8,Parin,Vethayasas,1950-12-29T00:00:00+07:00,Female,parin.vethayasas@gmailx.com,+6616327123,66/0 ถนนนิยมเซียม ต.กะบกเตี้ย อ.นาหว้า จ.สกลนคร 88910,Thailand,2023-11-01T00:00:00+07:00,สกลนคร,88910,Bronze
CUST-A001005,bffac7ff-8bae-4ec8-8792-4a55af33e766,Chaifah,Boonpungbaramee,2001-02-08T00:00:00+07:00,Male,chaifah.boonpungbaramee@hotmailx.com,+6615610229,74 หมู่ 2 ถ.แนวพนิช นครศรีธรรมราช 53370,Thailand,2024-03-05T00:00:00+07:00,นครศรีธรรมราช,53370,Bronze
CUST-A001006,bc17de97-8970-4635-b966-23d647440a11,Nutkrita,Kitprapa,1926-10-29T00:00:00+07:00,Male,nutkrita.kitprapa@gmailx.com,+6616291867,48/5 ถ.นิยมสำหรวจ พระนคร กรุงเทพฯ 57010,Thailand,2023-08-16T00:00:00+07:00,กรุงเทพมหานคร,57010,Bronze
CUST-A001007,ed030382-4d28-485f-8840-8bdd8c28bf3e,Supasita,Methavorakul,1908-11-17T00:00:00+06:42,Other,supasita.methavorakul@gmailx.com,+6615623575,2/0 ถนนชำนาญวาด เกาะหวายใหญ่ จ.ชัยนาท 26450,Thailand,2024-04-20T00:00:00+07:00,ชัยนาท,26450,Bronze
CUST-A001008,74c8d71c-9ee6-4271-9db7-1ea86768ef44,Anon,Thantananont,1970-01-14T00:00:00+07:00,Male,anon.thantananont@gmailx.com,+6618629410,32/3 ถนนตรีครุธพันธุ์ ต.ปากแจ่ม อ.แก้งคร้อ สมุทรสาคร 96350,Thailand,2024-03-29T00:00:00+07:00,สมุทรสาคร,96350,Bronze
CUST-A001009,22af76bc-9fdd-4116-9844-c9216bf35ad7,Teetat,Sireelert,1963-05-24T00:00:00+07:00,Other,teetat.sireelert@gmailx.com,+6615395303,7/3 ถ.ถนอมพล บ้านก้อนแก้ว เนินสง่า กรุงเทพ 11110,Thailand,2023-12-30T00:00:00+07:00,กรุงเทพมหานคร,11110,Bronze
CUST-A001010,0fbd22e4-dce1-499a-b2c8-44ff7c42322a,Nutkrita,Wasunun,1944-07-08T00:00:00+07:00,Male,nutkrita.wasunun@gmailx.com,+6617877476,210/34 ซ.ยาปะโลหิต อำเภอวังทองหลาง แพร่ 63260,Thailand,2024-02-21T00:00:00+07:00,แพร่,63260,Bronze
