user_id,anonymousId,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,province,zip_code,customer_tier
CUST-A000101,2797120d-7a80-44c0-9681-3d6df2608e54,Parin,Pichpandecha,2018-12-12T00:00:00+07:00,Male,parin.pichpandecha@gmailx.com,+6613009180,93 ถนนนครเทพ ต.บ่อหนองอิเฒ่า อ.บ้านแท่น อ่างทอง 20850,Thailand,2024-05-22T00:00:00+07:00,อ่างทอง,20850,Bronze
CUST-A000102,9fca44b7-9665-4239-b2e2-f8d479eaf0f0,Chanya,Prachayaroch,1913-05-22T00:00:00+06:42,Female,chanya.prachayaroch@hotmailx.com,+6614250613,23 ถ.ศาสตร์ศิลป์ จันทบุรี 79450,Thailand,2023-12-30T00:00:00+07:00,จันทบุรี,79450,Bronze
CUST-A000103,b821ca4e-ddfa-40c9-9af9-ab30b2c3262a,Patchaploy,Methavorakul,1913-12-08T00:00:00+06:42,Other,patchaploy.methavorakul@hotmailx.com,+6612587183,8/2 ถนนหนุนสุข ต.นาหินลาด จ.สงขลา 54870,Thailand,2024-05-18T00:00:00+07:00,สงขลา,54870,Bronze
CUST-A000104,795701c6-680a-403a-8e9b-a14ed45103db,Aunyaporn,Titipatrayunyong,2014-01-03T00:00:00+07:00,Male,aunyaporn.titipatrayunyong@hotmailx.com,+6614029967,77 หมู่ 6 ถนนวิลาสินี ตำบลกะบกเตี้ยใต้ อำเภอเวียงแก่น จังหวัดปัตตานี 34050,Thailand,2024-04-19T00:00:00+07:00,ปัตตานี,34050,Bronze
CUST-A000105,eabc86d7-801d-4795-9ab1-d29ed700db6a,Wassaya,Todsapornpitakul,1958-10-30T00:00:00+07:00,Other,wassaya.todsapornpitakul@gmailx.com,+6619474354,44 หมู่ 79 ถ.ศรีวงค์ ต.เทพศิรินทร์ อ.เทิง จ.ปทุมธานี 65040,Thailand,2023-10-22T00:00:00+07:00,ปทุมธานี,65040,Bronze
CUST-A000106,6a1c0082-beb7-4542-bb6a-f22378b6cda6,Pattamon,Wimolnot,2023-04-24T00:00:00+07:00,Male,pattamon.wimolnot@gmailx.com,+6617024382,3 ถ.ศรีตะวัน พระรักษ์ จ.ชัยนาท 84190,Thailand,2023-08-08T00:00:00+07:00,ชัยนาท,84190,Bronze
CUST-A000107,3ef047fb-6650-4050-80cb-b2a784352d26,Noppakao,Chaihirankarn,1988-03-08T00:00:00+07:00,Other,noppakao.chaihirankarn@gmailx.com,+6614214238,34/73 ถนนบุนยะตีรณะ อำเภอเรณูนคร จังหวัดนราธิวาส 33000,Thailand,2024-07-02T00:00:00+07:00,นราธิวาส,33000,Bronze
CUST-A000108,7162d67c-0d86-4ab1-b2cf-065d3b3fa0d2,Peem,Tungkasethakul,1912-03-02T00:00:00+06:42,Male,peem.tungkasethakul@gmailx.com,+6617664520,91 หมู่ 6 ถนนทันยุค อ.ป้อมปราบศัตรูพ่าย ร้อยเอ็ด 51160,Thailand,2023-09-04T00:00:00+07:00,ร้อยเอ็ด,51160,Bronze
CUST-A000109,d2f46b05-be28-44c0-a586-ac75fd67621c,Chayanin,Charoensuksopol,1954-09-25T00:00:00+07:00,Female,chayanin.charoensuksopol@hotmailx.com,+6612986890,34 ถ.ถนัดกลึง ตำบลนาวง อำเภอห้วยขวาง จันทบุรี 28580,Thailand,2024-06-03T00:00:00+07:00,จันทบุรี,28580,Bronze
CUST-A000110,3978efab-9728-4441-87a1-3b4b3c89e4e0,Chaifah,Pianduangsri,1930-07-25T00:00:00+07:00,Female,chaifah.pianduangsri@hotmailx.com,+6616305836,677/07 ถ.ราชมณี ต.ก้อนแก้วใต้ อ.เนินสง่า อำนาจเจริญ 93630,Thailand,2023-10-26T00:00:00+07:00,อำนาจเจริญ,93630,Bronze
CUST-A000111,33775a6b-7088-4bac-bc75-0fccaad84f18,Phubes,Lertsattayanusak,1936-10-06T00:00:00+07:00,Other,phubes.lertsattayanusak@gmailx.com,+6612044837,069/8 ถ.วาทา ต.นาดี อ.นาแก สงขลา 26750,Thailand,2024-03-31T00:00:00+07:00,สงขลา,26750,Bronze
CUST-A000112,68851629-895f-42a5-ad04-ff37f146f8bb,Wassaya,Norramon,1966-09-15T00:00:00+07:00,Male,wassaya.norramon@gmailx.com,+6615828568,12 ถนนศรทอง ต.หนองปลาหมอ อ.เนินสง่า จ.ศรีสะเกษ 14460,Thailand,2023-08-04T00:00:00+07:00,ศรีสะเกษ,14460,Bronze
CUST-A000113,6e3840a7-7f4c-445b-8e57-2e869eece153,Tunchanok,Permchart,1991-08-01T00:00:00+07:00,Female,tunchanok.permchart@gmailx.com,+6616032860,4 ถนนคำลือ ตำบลเกาะหวาย อำเภอเวียงชัย กรุงเทพฯ 59260,Thailand,2023-08-13T00:00:00+07:00,กรุงเทพมหานคร,59260,Bronze
CUST-A000114,f1b18da8-8d30-48d1-b318-4205544463b7,Nutkrita,Pianduangsri,1924-09-15T00:00:00+07:00,Female,nutkrita.pianduangsri@hotmailx.com,+6618008736,637/61 ถ.ประจันตะเสน ต.นาหินลาดใต้ อ.วังยาง ประจวบคีรีขันธ์ 88200,Thailand,2024-01-27T00:00:00+07:00,ประจวบคีรีขันธ์,88200,Bronze
CUST-A000115,c99fd2ab-0208-4c2b-adca-c9533e0a172f,Puntira,Suraprasert,1932-01-08T00:00:00+07:00,Female,puntira.suraprasert@hotmailx.com,+6613880047,244/47 ถนนถนัดอาวุธ เขาพระนอน ปากคาด อุดรธานี 86390,Thailand,2023-12-28T00:00:00+07:00,อุดรธานี,86390,Bronze
CUST-A000116,f121ed2c-83ff-43cd-b8ce-5032753d6536,Chayanin,Kumsoontorn,1955-07-31T00:00:00+07:00,Female,chayanin.kumsoontorn@gmailx.com,+6617656095,7/0 ถนนนะวะมันดร ต.สุขเดือนห้า อ.สะพานสูง จ.สุพรรณบุรี 79280,Thailand,2024-05-22T00:00:00+07:00,สุพรรณบุรี,79280,Bronze
CUST-A000117,c9557a0b-636b-4cc4-b70e-d5cdf749ce1f,Anon,Kamalanon,2003-03-31T00:00:00+07:00,Male,anon.kamalanon@gmailx.com,+6618244137,79 หมู่ 44 ถ.บุตดา ต.โคกกรวด อ.ปลาปาก จ.ภูเก็ต 60990,Thailand,2024-01-04T00:00:00+07:00,ภูเก็ต,60990,Bronze
CUST-A000118,f74a464e-0292-48db-a56d-bf0db6e777fb,Atit,Kamalanon,1951-09-18T00:00:00+07:00,Female,atit.kamalanon@hotmailx.com,+6618253619,34 หมู่ 6 หมู่บ้านภัคชนน โพนสวรรค์ อำนาจเจริญ 60550,Thailand,2024-04-17T00:00:00+07:00,อำนาจเจริญ,60550,Bronze
CUST-A000119,8eb729e9-9841-49d9-b6aa-b017f98cb43d,Chanya,Bunlupong,1983-05-01T00:00:00+07:00,Male,chanya.bunlupong@hotmailx.com,+6614884668,24/3 ถ.แก้วชลคราม อ.โพนสวรรค์ สุรินทร์ 75840,Thailand,2024-02-21T00:00:00+07:00,สุรินทร์,75840,Bronze
CUST-A000120,b01892be-7431-4a8d-8c27-a8bd6d8bbefc,Chanikan,Siripaiboo,1962-11-03T00:00:00+07:00,Male,chanikan.siripaiboo@hotmailx.com,+6617597263,85/1 ถ.นรวิทย์โชติกุล ตำบลปากแจ่ม อำเภอเวียงป่าเป้า กระบี่ 61060,Thailand,2023-09-08T00:00:00+07:00,กระบี่,61060,Bronze
CUST-A000121,1fdbf664-a847-4db8-88dc-f1c4ca04539d,Teetat,Prachayaroch,1944-08-02T00:00:00+07:00,Female,teetat.prachayaroch@gmailx.com,+6615948588,53 หมู่ 4 ต.นาดี อ.เทิง สมุทรสงคราม 60490,Thailand,2024-03-22T00:00:00+07:00,สมุทรสงคราม,60490,Bronze
CUST-A000122,482e67b2-a470-4731-a14a-a9d3d0f16e1b,Suvakit,Methavorakul,1916-07-18T00:00:00+06:42,Female,suvakit.methavorakul@hotmailx.com,+6616191441,3/8 ซอยทับทิมไทย ตำบลบ่อโนนสูงใหญ่ อำเภอบ่อไร่ จังหวัดกรุงเทพฯ 39150,Thailand,2024-04-23T00:00:00+07:00,กรุงเทพมหานคร,39150,Bronze
CUST-A000123,89e54503-2858-4a7f-ac85-ecd3f596b151,Suwijuk,Benchapatranon,1987-07-17T00:00:00+07:00,Female,suwijuk.benchapatranon@hotmailx.com,+6615566733,59/41 ถ.เลขะพันธุ์ วัดลำภูรา ภาษีเจริญ ลำพูน 66860,Thailand,2023-10-21T00:00:00+07:00,ลำพูน,66860,Bronze
CUST-A000124,888622b7-adae-417a-b9e1-6fdd8d911e3a,Pada,Kongsri,1988-11-28T00:00:00+07:00,Female,pada.kongsri@hotmailx.com,+6615376081,329/6 ถนนหนุนสุข ต.บางแค อ.พรเจริญ พิษณุโลก 71980,Thailand,2024-04-05T00:00:00+07:00,พิษณุโลก,71980,Bronze
CUST-A000125,c438b45e-7199-4928-be46-104bb446079f,Noppakao,Lertsattayanusak,2024-06-11T00:00:00+07:00,Female,noppakao.lertsattayanusak@hotmailx.com,+6619700478,536/54 ถนนนามเสวตร ต.กะบกเตี้ย อ.หนอกจอก ระยอง 14090,Thailand,2024-02-19T00:00:00+07:00,ระยอง,14090,Bronze
CUST-A000126,39839265-f85f-4189-904d-456c49bfa8e3,Thanatcha,Kongchayasukawut,1984-06-24T00:00:00+07:00,Female,thanatcha.kongchayasukawut@gmailx.com,+6612300937,31/6 ถนนนาถะเดชะ สกลนคร 12980,Thailand,2024-02-09T00:00:00+07:00,สกลนคร,12980,Bronze
CUST-A000127,4967305c-804d-4db4-902d-5432faa5654e,Nutwadee,Kittakun,2010-10-16T00:00:00+07:00,Other,nutwadee.kittakun@hotmailx.com,+6618531016,1/1 ถนนเลขะพันธุ์ ต.บางกุ้ง อ.หนอกจอก จ.สุโขทัย 85120,Thailand,2024-02-22T00:00:00+07:00,สุโขทัย,85120,Bronze
CUST-A000128,7479fa3b-7e8f-4e4a-9540-51dbb7224f0d,Supasit,Krittayanukoon,1974-02-21T00:00:00+07:00,Female,supasit.krittayanukoon@hotmailx.com,+6618320464,55 หมู่ 1 ถนนถมปัด ต.ลำภูราใต้ อ.คลองใหญ่ จ.สิงห์บุรี 75240,Thailand,2024-05-24T00:00:00+07:00,สิงห์บุรี,75240,Bronze
CUST-A000129,9f8dc547-d318-4136-a932-8a8ea98ba537,Sitiwat,Thantananont,1918-07-01T00:00:00+06:42,Male,sitiwat.thantananont@hotmailx.com,+6612428069,1 ถ.ทัศนสุทธิ ในเตาใต้ ป้อมปราบศัตรูพ่าย สุโขทัย 40190,Thailand,2024-05-19T00:00:00+07:00,สุโขทัย,40190,Bronze
CUST-A000130,28c9b849-3f21-495f-8dc7-a084e270ec13,Chalisa,Prachayaroch,1947-07-31T00:00:00+07:00,Male,chalisa.prachayaroch@hotmailx.com,+6616170297,29 ถนนธีวร ตำบลโคกกรวด อำเภอแม่ลาว อ่างทอง 20400,Thailand,2023-12-18T00:00:00+07:00,อ่างทอง,20400,Bronze
CUST-A000131,515be075-1aa1-4f68-8fd6-09a1c4fd264a,Pak,Siripaiboo,1937-12-12T00:00:00+07:00,Female,pak.siripaiboo@gmailx.com,+6611838979,51/10 ถ.ตันตราจิณ ตำบลป่าเขาขาวเล็ก อำเภอเขาสมิง ตรัง 15110,Thailand,2023-10-22T00:00:00+07:00,ตรัง,15110,Bronze
CUST-A000132,5e659bf8-8931-4b18-9102-bbe8f052d0c4,Jaruwan,Norramon,1917-11-12T00:00:00+06:42,Other,jaruwan.norramon@gmailx.com,+6615619659,438/6 ถนนแน่นดุจป้อม อำเภอภักดีชุมพล จังหวัดเพชรบุรี 23680,Thailand,2023-10-28T00:00:00+07:00,เพชรบุรี,23680,Bronze
CUST-A000133,1fce6a98-dabe-4fc4-a7fe-5cb95ca796b6,Pintusorn,Posalee,1933-02-08T00:00:00+07:00,Female,pintusorn.posalee@gmailx.com,+6612328112,914/7 ถ.ศิวะวรเวท บ้านโนนศิลา คอนสวรรค์ สุราษฎร์ธานี 74300,Thailand,2023-09-08T00:00:00+07:00,สุราษฎร์ธานี,74300,Bronze
CUST-A000134,00955d50-bbff-43f6-b4c1-229af91860c1,Tunradee,Suraprasert,1986-06-12T00:00:00+07:00,Male,tunradee.suraprasert@hotmailx.com,+6615955072,40 หมู่ 07 ถ.พานเกล้า โนนศิลาใหญ่ จ.พิจิตร 30230,Thailand,2024-06-30T00:00:00+07:00,พิจิตร,30230,Bronze
